epoch,accuracy,loss,val_accuracy,val_loss
0,0.885200023651123,0.34578001499176025,0.9976000189781189,0.009822139516472816
1,0.9962666630744934,0.01218479685485363,1.0,0.0002179388829972595
2,0.9998000264167786,0.0011168606579303741,1.0,0.00020537497766781598
3,1.0,0.0001072641825885512,1.0,1.4015989108884241e-05
4,1.0,1.3079980817565229e-05,1.0,9.82082201517187e-06
5,1.0,8.864686606102623e-06,1.0,7.712085789535195e-06
6,1.0,6.729264441673877e-06,1.0,6.3262218645832036e-06
7,1.0,5.658964710164582e-06,1.0,6.221256171556888e-06
8,1.0,5.516346391232219e-06,1.0,6.107141871325439e-06
9,1.0,5.369713107938878e-06,1.0,5.983157279842999e-06
